Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado,Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En préstamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Temporada,pos_primaria,grupo,cluster,arquetipo,distancia_centroide,pureza_arquetipo,pca1,pca2
E. Touré,Almería,Almería,CF,24,20000000,2028-06-30,21,1350,7,5.23,2,0.7,19.67,33.22,Côte d'Ivoire,"Côte d'Ivoire, Mali",derecho,185,77,si,3.6,2.67,47.5,7.33,39.09,0.0,0.0,0.07,2.33,2.86,1.67,0,0.0,0,0.0,1.87,0.47,7,0.47,0.35,2,0.13,28,1.87,50.0,25.0,0.13,0.33,40.0,0.0,0.0,0.33,40.0,0.0,1.47,54.55,6.13,27.17,3.67,1.0,0.6,9.6,2.53,0.47,14.93,76.79,2.0,56.67,5.8,87.36,3.87,74.14,14.6,77.63,0.0,0.0,11.93,0.0,0.05,0.87,0.07,0.07,0.07,0.0,0.33,0.73,100.0,0.67,40.0,0.07,0.0,0.6,0.07,1.0,40.0,0,,0,,0,0,0,0.0,,,0.0,,,0.07,0.0,0.0,0.0,0,0.0,2022-23,CF,Delantero,2,Clásico de Área,1.5723161898755933,67.4,0.2978694127469769,-0.7385714471271408
Mikel Oyarzabal,Real Sociedad,Real Sociedad,"CF, LW, LAMF",29,0,2028-06-30,23,1311,4,5.04,1,2.7,17.99,33.97,Spain,Spain,izquierdo,181,79,no,5.15,4.05,61.02,3.64,32.08,0.14,0.21,0.27,2.54,3.94,0.89,1,0.07,0,0.0,1.85,0.27,2,0.14,0.35,1,0.07,18,1.24,61.11,22.222,0.07,1.3,31.58,0.89,23.08,0.41,50.0,0.21,2.06,23.33,6.52,23.16,3.57,0.96,0.41,19.63,1.78,1.1,24.3,77.4,4.6,58.21,7.69,91.07,5.9,75.58,22.04,81.62,1.1,37.5,14.91,23.83,0.19,0.82,0.0,0.0,0.69,30.0,0.48,1.72,40.0,1.24,38.89,0.69,20.0,1.03,0.48,2.27,84.85,0,,0,,0,0,0,0.0,,,0.27,,,0.41,0.0,0.0,0.48,3,66.667,2022-23,CF,Delantero,0,Físico/Presor,1.7195327209211464,71.6,-1.0645552840293482,0.5017981672527186
E. Ponce,Elche,Elche,CF,29,0,2027-06-30,34,1290,4,4.47,0,0.19,23.51,31.16,Argentina,"Argentina, Spain",derecho,181,76,no,3.63,3.7,47.17,6.63,36.84,0.28,0.35,0.21,1.6,2.04,2.02,2,0.14,1,0.07,0.7,0.28,4,0.28,0.31,3,0.21,28,1.95,25.0,14.286,0.0,0.21,0.0,0.14,0.0,0.07,0.0,0.07,1.26,16.67,7.88,15.04,2.72,0.49,0.28,12.21,1.4,0.56,17.93,82.1,3.07,70.45,6.21,86.52,4.12,83.05,16.88,83.88,0.84,66.67,14.02,10.15,0.01,0.35,0.0,0.07,0.14,0.0,0.21,1.95,71.43,0.56,62.5,0.21,0.0,0.42,0.0,1.4,65.0,0,,0,,0,0,0,0.0,,,0.07,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,CF,Delantero,1,Asociativo/Falso 9,0.7178868757580673,96.4,-0.9402035530559418,-0.38919979635304497
C. Stuani,Girona,Girona,CF,39,1800000,2026-06-30,32,1282,9,9.44,0,0.59,17.76,33.99,Uruguay,"Uruguay, Italy",derecho,186,76,no,2.74,4.07,37.93,4.0,42.11,0.14,0.21,0.0,1.05,1.56,2.53,8,0.56,0,0.0,1.76,0.63,4,0.28,0.66,0,0.0,31,2.18,67.74,29.032,0.0,0.35,20.0,0.14,0.0,0.21,33.33,0.0,0.28,75.0,3.86,34.55,2.95,0.21,0.07,7.93,1.12,1.54,10.81,75.32,1.54,54.55,3.86,92.73,2.81,65.0,10.25,78.08,0.21,33.33,12.55,2.63,0.04,0.42,0.0,0.0,0.07,0.0,0.0,0.7,50.0,0.35,60.0,0.07,0.0,0.28,0.07,0.49,14.29,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,6,83.333,2022-23,CF,Delantero,2,Clásico de Área,1.804521888213018,52.2,0.5756256539346085,-2.1583513491145525
Kike García,Osasuna,Osasuna,CF,36,1000000,2027-06-30,35,1170,2,5.29,0,1.15,32.0,31.73,Spain,Spain,derecho,186,79,no,3.31,3.0,53.85,8.77,33.33,0.23,0.31,0.23,1.46,1.96,1.85,5,0.38,0,0.0,1.92,0.15,1,0.08,0.41,1,0.08,38,2.92,31.58,5.263,0.0,0.62,25.0,0.46,16.67,0.08,0.0,0.0,1.46,52.63,11.69,29.61,4.69,0.69,0.23,10.23,3.08,1.92,16.62,74.54,3.0,56.41,4.23,89.09,4.31,73.21,15.62,77.34,0.38,40.0,16.15,4.64,0.09,0.62,0.0,0.0,0.15,50.0,0.46,1.62,52.38,1.23,56.25,0.23,33.33,1.0,0.15,1.23,75.0,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1,100.0,2022-23,CF,Delantero,2,Clásico de Área,2.995623882888339,16.3,0.26640063902030103,0.28012535845579273
H. Seferović,Celta de Vigo,Celta de Vigo,CF,34,3000000,,18,964,3,2.18,1,0.73,16.06,36.63,Switzerland,"Switzerland, Bosnia and Herzegovina",izquierdo,189,85,no,1.77,1.49,43.75,3.73,45.0,0.0,0.0,0.0,1.12,1.52,0.37,3,0.28,0,0.0,2.33,0.28,3,0.28,0.2,2,0.19,12,1.12,58.33,25.0,0.09,2.33,24.0,2.05,22.73,0.28,33.33,0.37,1.68,66.67,7.56,33.33,2.05,0.93,0.09,10.18,0.93,0.47,19.14,64.88,3.45,54.05,4.48,85.42,6.91,55.41,16.34,71.43,0.65,42.86,15.4,9.69,0.07,0.56,0.0,0.0,0.47,0.0,0.19,2.05,63.64,2.05,27.27,0.37,25.0,0.37,0.37,2.24,54.17,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,CF,Delantero,1,Asociativo/Falso 9,1.937902372067992,32.5,-1.2625218234014586,-1.7843791796598134
R. Nteka,Elche,Elche,"CF, LW, RW",28,1500000,2028-06-30,24,951,0,2.04,0,0.65,28.49,36.21,France,"France, Angola",izquierdo,189,75,no,6.15,5.3,55.36,6.81,40.28,0.28,0.41,0.28,2.93,4.23,2.37,1,0.09,1,0.09,1.51,0.0,0,0.0,0.19,0,0.0,19,1.8,21.05,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.09,2.74,41.38,11.36,29.17,3.22,1.23,0.47,14.86,1.99,2.18,20.91,76.92,4.45,46.81,5.58,88.14,5.58,83.05,19.68,78.37,1.14,58.33,14.69,13.64,0.06,0.66,0.19,0.0,0.38,0.0,0.19,1.8,42.11,0.85,33.33,0.66,0.0,0.66,0.0,1.61,52.94,0,,0,,0,0,0,0.0,,,0.09,,,0.0,0.0,0.0,0.0,0,0.0,2022-23,CF,Delantero,0,Físico/Presor,2.3468669540255895,40.3,-2.687083797689799,2.363346395257822
Hugo Duro,Valencia,Valencia,CF,26,16000000,2028-06-30,37,3229,13,10.33,2,0.65,24.28,37.2,Spain,Spain,izquierdo,177,70,no,4.04,3.71,60.15,6.33,30.84,0.14,0.17,0.11,1.67,2.0,1.17,4,0.11,0,0.0,1.51,0.36,13,0.36,0.29,4,0.11,61,1.7,44.26,21.311,0.06,0.28,10.0,0.17,16.67,0.11,0.0,0.03,1.62,43.1,8.33,35.45,2.59,0.59,0.2,10.51,1.59,2.62,14.13,76.73,2.65,50.53,4.21,92.05,3.46,82.26,13.57,78.85,0.31,36.36,13.67,8.9,0.02,0.28,0.0,0.0,0.06,50.0,0.14,1.0,47.22,0.53,31.58,0.08,0.0,0.31,0.03,1.11,47.5,0,,0,,0,0,0,0.0,,,0.03,,,0.06,0.06,50.0,0.0,0,0.0,2023-24,CF,Delantero,1,Asociativo/Falso 9,0.9274164438135996,91.6,-0.9500829383858459,-1.016212885028723
L. Ocampos,Sevilla,Sevilla,"CF, RW, LAMF",31,0,2027-06-30,35,3140,4,7.69,3,3.95,26.23,43.93,Argentina,"Argentina, Spain",derecho,188,84,no,6.71,5.47,62.3,4.24,50.0,0.32,0.43,0.14,2.98,4.09,0.95,9,0.26,0,0.0,4.61,0.11,3,0.09,0.22,1,0.03,61,1.75,40.98,6.557,0.09,3.67,28.91,1.2,35.71,2.44,24.71,0.49,5.73,49.0,13.59,37.13,3.24,2.81,0.57,22.39,2.55,1.98,30.64,73.71,8.68,67.66,6.88,92.5,8.91,68.49,24.91,82.62,2.49,45.98,19.1,39.59,0.11,0.77,0.06,0.06,0.23,12.5,0.6,2.75,57.29,3.24,43.36,0.54,26.32,0.83,0.92,4.13,74.31,0,,0,,0,0,0,0.0,,,0.14,,,0.06,0.0,0.0,0.03,1,100.0,2023-24,CF,Delantero,0,Físico/Presor,2.190867952598219,44.8,-1.637981412610694,3.2279151680159974
J. Strand Larsen,Celta de Vigo,Celta de Vigo,CF,26,25000000,2030-06-30,37,3088,13,15.86,3,2.34,26.52,32.86,Norway,Norway,derecho,193,79,no,3.41,3.88,46.62,5.51,40.74,0.38,0.45,0.06,1.22,1.44,1.78,4,0.12,0,0.0,2.3,0.38,13,0.38,0.46,2,0.06,72,2.1,47.22,18.056,0.09,0.67,21.74,0.32,18.18,0.35,25.0,0.03,2.33,48.75,11.22,25.45,3.76,0.9,0.23,11.05,1.37,1.37,16.35,74.87,2.22,57.89,5.25,90.0,4.26,69.18,15.33,77.76,0.38,53.85,13.96,13.41,0.07,0.64,0.03,0.0,0.12,25.0,0.29,1.11,52.63,0.76,42.31,0.12,25.0,0.64,0.12,0.79,62.96,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2023-24,CF,Delantero,2,Clásico de Área,0.9336777018512791,97.8,0.5076508069202379,-0.7338543627626776
R. Lewandowski,Barcelona,Barcelona,CF,37,15000000,2026-06-30,35,3030,19,18.07,6,3.66,15.21,35.74,Poland,Poland,derecho,185,81,no,2.2,1.51,54.9,3.56,44.17,0.0,0.0,0.12,1.37,2.43,0.71,5,0.15,0,0.0,2.41,0.56,15,0.45,0.54,4,0.12,86,2.55,46.51,22.093,0.18,0.74,40.0,0.48,37.5,0.24,50.0,0.21,1.9,40.63,7.1,29.71,4.22,0.71,0.24,14.14,1.22,1.54,16.31,74.68,3.65,52.85,4.54,92.81,4.07,79.56,14.67,77.13,0.89,63.33,15.15,21.78,0.11,0.59,0.0,0.03,0.68,21.74,0.48,1.72,63.79,1.37,47.83,0.65,27.27,0.83,0.3,1.69,73.68,0,,0,,0,0,0,0.0,,,0.0,,,0.12,0.12,25.0,0.0,4,100.0,2023-24,CF,Delantero,2,Clásico de Área,1.2698521306786072,85.9,1.9579842665531844,-1.5048873802209746
Iago Aspas,Celta de Vigo,Celta de Vigo,"CF, RWF",38,3000000,2027-06-30,35,2998,9,11.49,9,8.24,13.45,45.54,Spain,Spain,izquierdo,176,67,no,3.0,2.82,58.51,1.32,22.73,0.03,0.04,0.06,1.32,1.6,0.6,6,0.18,1,0.03,3.3,0.27,6,0.18,0.35,0,0.0,76,2.28,34.21,11.842,0.27,2.04,20.59,0.93,25.81,1.08,16.67,0.33,2.31,70.13,7.05,49.79,3.84,1.68,0.63,27.17,1.38,1.74,34.19,77.88,8.32,70.76,8.35,91.37,10.39,75.43,30.14,83.07,2.07,57.97,16.88,28.77,0.25,2.28,0.09,0.03,0.96,50.0,0.93,4.71,70.7,3.24,53.7,1.26,52.38,1.92,0.42,4.95,81.21,0,,0,,0,0,0,0.0,,,0.0,,,1.32,0.18,33.33,2.79,5,60.0,2023-24,CF,Delantero,0,Físico/Presor,2.881030530645124,20.9,0.7802364529916793,1.5945190189661542
A. Griezmann,Atlético Madrid,Atlético Madrid,"CF, LW",35,25000000,2027-06-30,33,2890,16,12.95,5,5.16,10.68,42.27,France,France,izquierdo,176,73,no,4.61,3.02,54.64,1.74,26.79,0.81,1.02,0.09,2.15,2.7,0.53,5,0.16,0,0.0,2.43,0.5,12,0.37,0.4,1,0.03,77,2.4,44.16,20.779,0.16,1.49,27.08,0.97,22.58,0.5,31.25,0.47,1.34,51.16,4.39,38.3,3.11,1.0,0.19,32.57,1.59,0.78,37.87,83.14,7.57,68.72,9.19,94.24,12.67,83.54,34.19,86.52,2.24,69.44,16.11,34.21,0.16,1.15,0.12,0.06,0.78,36.0,0.59,4.27,73.72,2.24,48.61,1.06,41.18,1.03,0.4,3.96,73.23,0,,0,,0,0,0,0.0,,,0.0,,,0.93,0.09,0.0,2.93,4,100.0,2023-24,CF,Delantero,2,Clásico de Área,3.1276296061937616,12.0,0.8737068420258745,0.35602338054237836
Chris Ramos,Cádiz,Cádiz,CF,29,4000000,2028-06-30,37,2881,5,11.29,1,1.75,32.71,37.92,Spain,"Spain, United States",derecho,190,80,si,4.65,4.4,51.77,12.15,49.36,0.09,0.12,0.22,2.28,2.86,1.81,5,0.16,0,0.0,1.59,0.16,5,0.16,0.35,3,0.09,69,2.16,37.68,7.246,0.03,0.59,21.05,0.12,25.0,0.47,20.0,0.12,2.28,27.4,9.12,26.37,3.19,0.84,0.25,6.5,1.59,1.44,10.87,71.26,1.75,41.07,3.9,88.0,2.47,64.56,10.18,74.54,0.19,16.67,13.78,7.1,0.05,0.25,0.0,0.03,0.06,50.0,0.19,0.75,50.0,0.41,23.08,0.09,33.33,0.16,0.16,0.78,52.0,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2023-24,CF,Delantero,0,Físico/Presor,1.9865061353625069,52.2,-1.4802742623453382,0.2963503327713945
Y. En-Nesyri,Sevilla,Sevilla,CF,29,0,2029-06-30,33,2851,16,11.25,2,0.83,14.93,35.94,Morocco,Morocco,izquierdo,188,78,no,2.53,1.93,62.3,6.22,38.07,0.03,0.04,0.06,1.29,1.74,0.63,4,0.13,0,0.0,1.42,0.51,15,0.47,0.36,7,0.22,67,2.12,46.27,23.881,0.06,0.22,42.86,0.16,40.0,0.03,100.0,0.0,1.1,28.57,3.76,22.69,3.35,0.47,0.09,6.63,1.64,0.63,8.46,70.15,1.61,43.14,2.94,87.1,2.24,70.42,7.92,72.91,0.32,20.0,15.42,11.14,0.03,0.22,0.03,0.0,0.03,100.0,0.19,0.69,31.82,0.32,60.0,0.09,33.33,0.22,0.09,0.92,41.38,0,,0,,0,0,0,0.0,,,0.03,,,0.0,0.0,0.0,0.0,1,100.0,2023-24,CF,Delantero,2,Clásico de Área,1.9618901529334334,45.7,0.44585138139653935,-2.2121510761864185
A. Dovbyk,Girona,Girona,CF,28,0,2029-06-30,36,2841,24,23.87,6,4.13,14.41,28.13,Ukraine,Ukraine,izquierdo,189,88,no,0.98,0.76,41.67,2.88,51.65,0.0,0.0,0.03,0.67,0.99,0.79,2,0.06,0,0.0,2.03,0.76,17,0.54,0.76,6,0.19,79,2.5,58.23,30.38,0.19,0.13,50.0,0.13,50.0,0.0,0.0,0.03,1.3,31.71,6.78,16.36,4.88,0.38,0.13,8.36,1.36,0.38,10.96,76.01,1.9,65.0,3.52,89.19,2.44,71.43,10.68,75.96,0.16,100.0,11.69,4.77,0.13,0.67,0.03,0.0,0.19,50.0,0.44,0.44,57.14,0.57,61.11,0.16,40.0,1.17,0.03,0.86,40.74,0,,0,,0,0,0,0.0,,,0.0,,,0.03,0.03,0.0,0.0,8,87.5,2023-24,CF,Delantero,2,Clásico de Área,3.44161717025086,8.7,3.3633429054213395,-3.202395946834517
A. Sørloth,Villarreal,Villarreal,CF,30,25000000,2028-06-30,34,2780,23,13.29,6,2.53,22.99,31.41,Norway,Norway,izquierdo,195,94,no,2.07,1.85,50.88,4.86,52.67,0.06,0.08,0.06,1.07,1.38,1.1,3,0.1,0,0.0,2.75,0.74,23,0.74,0.43,7,0.23,72,2.33,48.61,31.944,0.19,0.49,33.33,0.42,38.46,0.06,0.0,0.06,2.82,50.57,12.27,23.75,4.11,0.97,0.49,9.16,1.52,0.58,13.21,81.13,2.1,69.23,3.69,90.35,3.85,79.83,12.63,83.08,0.13,50.0,14.85,3.91,0.08,0.68,0.03,0.03,0.06,50.0,0.52,0.74,73.91,0.52,75.0,0.03,0.0,0.84,0.16,0.87,48.15,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,2023-24,CF,Delantero,2,Clásico de Área,2.633028686597896,26.1,2.4037662010759906,-2.139571496780804
L. Boyé,Granada,Granada,"CF, AMF",30,7000000,2029-06-30,31,2773,6,8.55,3,1.56,35.15,32.59,Argentina,"Argentina, Italy",derecho,183,80,no,6.46,5.97,57.07,5.26,31.48,0.06,0.08,0.16,2.99,3.68,2.3,8,0.26,1,0.03,2.37,0.19,6,0.19,0.28,1,0.03,53,1.72,30.19,11.321,0.1,0.78,20.83,0.42,7.69,0.36,36.36,0.06,4.02,40.32,16.81,24.9,3.28,1.1,0.39,10.09,1.56,1.27,18.37,76.86,4.64,68.53,4.84,83.89,4.71,78.62,16.75,80.04,0.84,65.38,14.61,21.21,0.05,0.39,0.03,0.0,0.32,20.0,0.16,2.08,70.31,0.84,50.0,0.32,20.0,0.68,0.16,1.85,66.67,0,,0,,0,0,0,0.0,,,0.0,,,0.03,0.03,0.0,0.0,0,0.0,2023-24,CF,Delantero,0,Físico/Presor,1.9492588979345729,53.7,-2.094739494036685,1.1537511271319496
M. Uzuni,Granada,Granada,"CF, RW",31,0,2027-12-31,34,2695,11,12.27,1,1.66,14.63,32.88,Albania,Albania,derecho,178,70,no,3.21,3.97,52.1,2.97,17.98,0.03,0.04,0.13,1.1,1.39,0.9,3,0.1,0,0.0,1.6,0.37,7,0.23,0.41,1,0.03,62,2.07,46.77,17.742,0.03,0.43,46.15,0.13,75.0,0.23,42.86,0.0,1.17,31.43,4.14,29.03,2.71,0.5,0.4,6.04,1.34,0.7,9.48,77.46,1.34,42.5,3.61,89.81,2.64,81.01,8.68,81.15,0.4,33.33,14.03,11.96,0.06,0.47,0.0,0.0,0.13,50.0,0.2,0.43,53.85,0.67,55.0,0.17,20.0,0.57,0.17,0.94,57.14,0,,0,,0,0,0,0.0,,,0.07,,,0.1,0.07,0.0,0.0,5,80.0,2023-24,CF,Delantero,1,Asociativo/Falso 9,1.3462694622039595,72.3,-0.6153559133295691,-0.813707612144092
A. Budimir,Osasuna,Osasuna,CF,34,5000000,2027-06-30,33,2624,17,15.38,2,1.44,27.1,38.23,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",izquierdo,190,75,no,3.26,3.22,56.38,11.35,47.13,0.03,0.05,0.07,1.41,1.9,1.34,4,0.14,0,0.0,1.82,0.58,14,0.48,0.53,4,0.14,70,2.4,50.0,24.286,0.07,0.38,18.18,0.34,20.0,0.03,0.0,0.03,1.61,29.79,6.17,25.0,3.77,0.45,0.07,7.17,1.75,0.89,10.32,68.77,3.12,54.95,1.85,81.48,2.44,64.79,9.5,72.2,0.45,38.46,14.49,10.25,0.05,0.38,0.0,0.03,0.17,40.0,0.21,1.1,59.38,0.58,64.71,0.14,50.0,0.69,0.07,1.17,58.82,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,4,75.0,2023-24,CF,Delantero,2,Clásico de Área,1.4692321273673166,75.0,1.059104266730739,-2.0176545659690723
Rodrygo,Real Madrid,Real Madrid,CF,25,0,2028-06-30,34,2599,10,13.56,3,3.17,17.83,44.85,Brazil,"Brazil, Spain",derecho,174,64,no,3.05,2.56,62.16,1.14,12.12,0.07,0.1,0.0,1.39,2.04,0.31,2,0.07,0,0.0,5.61,0.35,10,0.35,0.47,0,0.0,86,2.98,43.02,11.628,0.1,1.52,27.27,0.55,31.25,0.97,25.0,0.21,7.27,52.38,12.33,46.63,5.99,5.23,1.66,31.2,2.67,1.45,33.52,89.05,6.72,85.57,8.97,95.37,8.14,85.11,31.82,92.38,0.28,25.0,13.59,8.5,0.11,1.04,0.1,0.07,0.35,30.0,0.35,2.18,87.3,2.32,70.15,0.42,25.0,1.97,0.42,2.22,87.5,0,,0,,0,0,0,0.0,,,0.0,,,0.17,0.14,25.0,0.45,1,0.0,2023-24,CF,Delantero,3,Móvil/Espacios,2.3134063482898464,83.3,4.250403371891664,4.775101618447764
V. Muriqi,Mallorca,Mallorca,CF,32,12000000,2029-06-30,29,2589,7,10.23,2,1.74,29.03,36.05,Kosovo,"Kosovo, Albania",izquierdo,194,92,no,3.06,2.22,51.56,11.61,43.41,0.24,0.3,0.14,1.67,2.08,1.32,4,0.14,0,0.0,1.49,0.24,6,0.21,0.36,3,0.1,58,2.02,43.1,12.069,0.07,0.45,30.77,0.17,20.0,0.28,37.5,0.03,0.9,38.46,8.86,25.88,3.13,0.45,0.14,11.75,2.05,1.53,18.67,76.72,3.65,50.48,5.11,91.16,5.46,79.62,17.69,78.0,0.52,73.33,14.62,12.59,0.06,0.66,0.0,0.03,0.42,33.33,0.35,2.05,62.71,0.9,38.46,0.38,36.36,0.59,0.17,1.6,52.17,0,,0,,0,0,0,0.0,,,0.1,,,0.0,0.0,0.0,0.0,3,33.333,2023-24,CF,Delantero,1,Asociativo/Falso 9,1.3742788859021173,67.5,-0.6268994782151397,-0.7691156896621479
Gerard Moreno,Villarreal,Villarreal,CF,34,10000000,2027-06-30,30,2408,10,11.0,5,4.5,19.32,41.59,Spain,Spain,izquierdo,180,77,no,3.92,3.21,58.14,2.32,45.16,0.07,0.1,0.22,1.98,2.56,0.78,0,0.0,0,0.0,3.55,0.37,8,0.3,0.41,0,0.0,61,2.28,36.07,16.393,0.19,1.08,34.48,0.19,20.0,0.86,34.78,0.07,3.48,53.76,11.32,38.28,3.89,1.46,0.26,26.13,1.94,1.46,35.28,81.04,9.01,70.95,8.45,93.81,11.29,80.79,31.4,84.64,2.84,59.21,17.18,33.52,0.17,1.5,0.04,0.07,0.93,52.0,0.78,4.67,70.4,2.92,64.1,1.35,44.44,2.09,0.3,5.46,80.82,0,,0,,0,0,0,0.0,,,0.07,,,0.0,0.0,0.0,0.0,3,66.667,2023-24,CF,Delantero,2,Clásico de Área,2.323473714082443,32.6,0.8059786956755582,0.7070764295181328
Mikel Oyarzabal,Real Sociedad,Real Sociedad,"CF, LW, LWF",28,0,2028-06-30,33,2366,9,8.47,4,1.84,15.37,36.14,Spain,Spain,izquierdo,181,79,no,3.58,3.35,59.09,3.54,30.11,0.08,0.12,0.11,1.52,2.36,0.8,3,0.11,0,0.0,1.75,0.34,7,0.27,0.32,1,0.04,39,1.48,48.72,23.077,0.15,0.61,37.5,0.46,25.0,0.15,75.0,0.04,1.37,47.22,5.52,30.34,2.55,0.72,0.3,12.9,1.33,0.76,18.11,80.46,3.27,65.12,6.31,93.37,4.22,77.48,16.89,82.21,0.68,72.22,14.69,16.36,0.07,0.49,0.04,0.0,0.27,57.14,0.3,1.26,66.67,0.72,52.63,0.23,66.67,0.46,0.15,1.83,66.67,0,,0,,0,0,0,0.0,,,0.15,,,0.08,0.08,0.0,0.0,2,100.0,2023-24,CF,Delantero,1,Asociativo/Falso 9,0.8310059046278921,95.2,-0.9046296252112335,-0.8259709008804121
Gorka Guruzeta,Athletic Club,Athletic Club,CF,29,18000000,2028-06-30,32,2366,14,11.48,5,2.4,23.28,35.95,Spain,Spain,derecho,188,78,no,6.09,4.87,54.69,6.66,36.57,0.0,0.0,0.15,3.42,4.31,1.71,2,0.08,0,0.0,2.17,0.53,14,0.53,0.44,3,0.11,58,2.21,51.72,24.138,0.19,0.49,38.46,0.34,44.44,0.15,25.0,0.08,1.56,48.78,7.34,27.98,3.65,0.57,0.23,14.61,1.45,0.87,20.96,75.68,4.79,60.32,5.06,85.71,6.35,79.04,19.59,78.25,0.87,39.13,14.63,19.42,0.09,0.76,0.0,0.0,0.3,25.0,0.49,2.17,64.91,0.99,53.85,0.34,22.22,0.95,0.19,1.86,55.1,0,,0,,0,0,0,0.0,,,0.0,,,0.11,0.11,0.0,0.0,1,0.0,2023-24,CF,Delantero,2,Clásico de Área,3.558943212911776,5.4,-0.010958734771287006,-0.48143038512146047
Borja Mayoral,Getafe,Getafe,CF,29,15000000,2027-06-30,27,2361,15,10.7,1,1.11,21.08,33.09,Spain,Spain,derecho,182,74,no,2.86,3.28,45.35,5.18,33.82,0.08,0.1,0.04,1.3,1.66,1.03,2,0.08,0,0.0,2.21,0.57,11,0.42,0.41,5,0.19,48,1.83,54.17,31.25,0.04,0.91,37.5,0.46,33.33,0.42,45.45,0.15,2.1,41.82,8.42,28.05,2.17,0.42,0.15,13.49,1.18,1.22,19.14,79.68,3.89,74.51,4.23,86.49,7.59,80.9,16.62,81.65,1.75,84.78,17.61,31.18,0.04,0.38,0.04,0.0,0.08,0.0,0.15,2.21,75.86,1.18,35.48,0.19,40.0,0.42,0.15,1.79,78.72,0,,0,,0,0,0,0.0,,,0.0,,,0.0,0.0,0.0,0.04,4,100.0,2023-24,CF,Delantero,1,Asociativo/Falso 9,2.21914874517833,21.7,-0.012985961089739368,-1.943427265018673
